================================================================================
        ANOMALY DETECTION TEST REPORT — 2025
================================================================================
  Table : new_claim_catalog.bronze.raw_ics_867_csl
  Method: 1st / 99th Percentile (full-year fixed bounds)
  Year  : 2025 only

--------------------------------------------------------------------------------
  MONTHLY TRENDS (full-year P1/P99 bounds)
--------------------------------------------------------------------------------
  Month            Sales Volume   Lower Bound (P1)   Upper Bound (P99)   Outlier
  2025-06-16                13.00               6.00               52.00         N
  2025-06-23                28.00               6.00               52.00         N
  2025-06-30                 9.00               6.00               52.00         N
  2025-07-07                14.00               6.00               52.00         N
  2025-07-14                46.00               6.00               52.00         N
  2025-07-21                23.00               6.00               52.00         N
  2025-07-28                38.00               6.00               52.00         N
  2025-08-04                36.00               6.00               52.00         N
  2025-08-11                20.00               6.00               52.00         N
  2025-08-18                52.00               6.00               52.00         N
  2025-08-25                32.00               6.00               52.00         N
  2025-09-01                36.00               6.00               52.00         N
  2025-09-08                26.00               6.00               52.00         N
  2025-09-15                52.00               6.00               52.00         N
  2025-09-22                23.00               6.00               52.00         N
  2025-09-29                46.00               6.00               52.00         N
  2025-10-06                14.00               6.00               52.00         N
  2025-10-13                26.00               6.00               52.00         N
  2025-10-20                14.00               6.00               52.00         N
  2025-10-27                12.00               6.00               52.00         N
  ----------------------------------------------------------------------------

--------------------------------------------------------------------------------
  DAILY TRENDS (full-year P1/P99 bounds)
--------------------------------------------------------------------------------
  Date             Sales Volume   Lower Bound (P1)   Upper Bound (P99)   Outlier
  ----------------------------------------------------------------------------
  2025-01-01               4.00               1.00               24.42         N
  2025-01-02               6.00               1.00               24.42         N
  2025-01-04              18.00               1.00               24.42         N
  2025-01-07               2.00               1.00               24.42         N
  2025-01-09              11.00               1.00               24.42         N
  2025-01-10               1.00               1.00               24.42         N
  2025-01-11               1.00               1.00               24.42         N
  2025-01-14               3.00               1.00               24.42         N
  2025-01-15               1.00               1.00               24.42         N
  2025-01-17               2.00               1.00               24.42         N
  2025-01-23               8.00               1.00               24.42         N
  2025-01-24               8.00               1.00               24.42         N
  2025-01-25               6.00               1.00               24.42         N
  2025-01-29              12.00               1.00               24.42         N
  2025-01-30               1.00               1.00               24.42         N
  2025-01-31               1.00               1.00               24.42         N
  2025-02-01               1.00               1.00               24.42         N
  2025-02-04               3.00               1.00               24.42         N
  2025-02-05               3.00               1.00               24.42         N
  2025-02-06               4.00               1.00               24.42         N
  2025-02-07               2.00               1.00               24.42         N
  2025-02-08               4.00               1.00               24.42         N
  2025-02-12               4.00               1.00               24.42         N
  2025-02-15               2.00               1.00               24.42         N
  2025-02-18              12.00               1.00               24.42         N
  2025-02-19               6.00               1.00               24.42         N
  2025-02-20               1.00               1.00               24.42         N
  2025-02-21               3.00               1.00               24.42         N
  2025-02-22               5.00               1.00               24.42         N
  2025-02-25               4.00               1.00               24.42         N
  2025-02-27               2.00               1.00               24.42         N
  2025-02-28               4.00               1.00               24.42         N
  2025-03-01               2.00               1.00               24.42         N
  2025-03-04               2.00               1.00               24.42         N
  2025-03-05               8.00               1.00               24.42         N
  2025-03-06               2.00               1.00               24.42         N
  2025-03-07               4.00               1.00               24.42         N
  2025-03-08               6.00               1.00               24.42         N
  2025-03-11               6.00               1.00               24.42         N
  2025-03-12               4.00               1.00               24.42         N
  2025-03-13               3.00               1.00               24.42         N
  2025-03-18               7.00               1.00               24.42         N
  2025-03-20               2.00               1.00               24.42         N
  2025-03-21               4.00               1.00               24.42         N
  2025-03-22               6.00               1.00               24.42         N
  2025-03-28               6.00               1.00               24.42         N
  2025-03-29               4.00               1.00               24.42         N
  2025-04-01               6.00               1.00               24.42         N
  2025-04-03               6.00               1.00               24.42         N
  2025-04-05               2.00               1.00               24.42         N
  2025-04-08               2.00               1.00               24.42         N
  2025-04-10               2.00               1.00               24.42         N
  2025-04-11               7.00               1.00               24.42         N
  2025-04-12               4.00               1.00               24.42         N
  2025-04-15               4.00               1.00               24.42         N
  2025-04-16               4.00               1.00               24.42         N
  2025-04-17               6.00               1.00               24.42         N
  2025-04-19               4.00               1.00               24.42         N
  2025-04-22               3.00               1.00               24.42         N
  2025-04-23               2.00               1.00               24.42         N
  2025-04-24               6.00               1.00               24.42         N
  2025-04-25               4.00               1.00               24.42         N
  2025-04-26               6.00               1.00               24.42         N
  2025-04-30               6.00               1.00               24.42         N
  2025-05-01               6.00               1.00               24.42         N
  2025-05-02               2.00               1.00               24.42         N
  2025-05-03               2.00               1.00               24.42         N
  2025-05-04               6.00               1.00               24.42         N
  2025-05-06               6.00               1.00               24.42         N
  2025-05-08              10.00               1.00               24.42         N
  2025-05-09               2.00               1.00               24.42         N
  2025-05-10               6.00               1.00               24.42         N
  2025-05-13               2.00               1.00               24.42         N
  2025-05-15               8.00               1.00               24.42         N
  2025-05-16               8.00               1.00               24.42         N
  2025-05-17               2.00               1.00               24.42         N
  2025-05-18               3.00               1.00               24.42         N
  2025-05-21              12.00               1.00               24.42         N
  2025-05-22               4.00               1.00               24.42         N
  2025-05-24               2.00               1.00               24.42         N
  2025-05-28              10.00               1.00               24.42         N
  2025-05-29               8.00               1.00               24.42         N
  2025-06-04               6.00               1.00               24.42         N
  2025-06-06              12.00               1.00               24.42         N
  2025-06-07               3.00               1.00               24.42         N
  2025-06-10               2.00               1.00               24.42         N
  2025-06-11               6.00               1.00               24.42         N
  2025-06-12               2.00               1.00               24.42         N
  2025-06-14               2.00               1.00               24.42         N
  2025-06-17               2.00               1.00               24.42         N
  2025-06-18               2.00               1.00               24.42         N
  2025-06-20               7.00               1.00               24.42         N
  2025-06-21               2.00               1.00               24.42         N
  2025-06-25               4.00               1.00               24.42         N
  2025-06-26               8.00               1.00               24.42         N
  2025-06-27               5.00               1.00               24.42         N
  2025-06-28               5.00               1.00               24.42         N
  2025-06-29               6.00               1.00               24.42         N
  2025-07-02               2.00               1.00               24.42         N
  2025-07-03               3.00               1.00               24.42         N
  2025-07-04               4.00               1.00               24.42         N
  2025-07-08               4.00               1.00               24.42         N
  2025-07-09               2.00               1.00               24.42         N
  2025-07-11               4.00               1.00               24.42         N
  2025-07-12               4.00               1.00               24.42         N
  2025-07-15               2.00               1.00               24.42         N
  2025-07-16               5.00               1.00               24.42         N
  2025-07-17               8.00               1.00               24.42         N
  2025-07-18              25.00               1.00               24.42         Y
  2025-07-19               6.00               1.00               24.42         N
  2025-07-24               6.00               1.00               24.42         N
  2025-07-26              17.00               1.00               24.42         N
  2025-07-30               4.00               1.00               24.42         N
  2025-07-31              18.00               1.00               24.42         N
  2025-08-02              16.00               1.00               24.42         N
  2025-08-05               6.00               1.00               24.42         N
  2025-08-06              16.00               1.00               24.42         N
  2025-08-07               2.00               1.00               24.42         N
  2025-08-08               2.00               1.00               24.42         N
  2025-08-09              10.00               1.00               24.42         N
  2025-08-12               4.00               1.00               24.42         N
  2025-08-13               4.00               1.00               24.42         N
  2025-08-14              12.00               1.00               24.42         N
  2025-08-20              12.00               1.00               24.42         N
  2025-08-22              18.00               1.00               24.42         N
  2025-08-23               4.00               1.00               24.42         N
  2025-08-24              18.00               1.00               24.42         N
  2025-08-26               3.00               1.00               24.42         N
  2025-08-28              23.00               1.00               24.42         N
  2025-08-29               1.00               1.00               24.42         N
  2025-08-30               5.00               1.00               24.42         N
  2025-09-01              24.00               1.00               24.42         N
  2025-09-04               1.00               1.00               24.42         N
  2025-09-05               9.00               1.00               24.42         N
  2025-09-06               2.00               1.00               24.42         N
  2025-09-09               2.00               1.00               24.42         N
  2025-09-11               0.00               1.00               24.42         Y
  2025-09-12               4.00               1.00               24.42         N
  2025-09-13              20.00               1.00               24.42         N
  2025-09-17               4.00               1.00               24.42         N
  2025-09-18              14.00               1.00               24.42         N
  2025-09-19              26.00               1.00               24.42         Y
  2025-09-20               8.00               1.00               24.42         N
  2025-09-23               2.00               1.00               24.42         N
  2025-09-24               2.00               1.00               24.42         N
  2025-09-25              14.00               1.00               24.42         N
  2025-09-26               5.00               1.00               24.42         N
  2025-09-30              21.00               1.00               24.42         N
  2025-10-01               6.00               1.00               24.42         N
  2025-10-03               7.00               1.00               24.42         N
  2025-10-04              12.00               1.00               24.42         N
  2025-10-08              10.00               1.00               24.42         N
  2025-10-10               4.00               1.00               24.42         N
  2025-10-15               2.00               1.00               24.42         N
  2025-10-17              12.00               1.00               24.42         N
  2025-10-18              12.00               1.00               24.42         N
  2025-10-22              12.00               1.00               24.42         N
  2025-10-24               2.00               1.00               24.42         N
  2025-10-31              12.00               1.00               24.42         N
  ----------------------------------------------------------------------------

================================================================================
  SUMMARY
================================================================================
  Monthly : 10 periods, 2 outliers
  Weekly  : 44 periods, 0 outliers
  Daily   : 159 periods, 3 outliers
================================================================================
